"USDX — индекс, показывающий отношение $ США к корзине из шести других основных валют: € (EUR), иена (JPY), £ (GBP), канадский $ (CAD), шведская крона (SEK) и швейцарский франк (CHF).","USDX — индекс, показывающий отношение доллара США к корзине из шести других основных валют: евро (EUR), иена (JPY), фунт стерлингов (GBP), канадский доллар (CAD), шведская крона (SEK) и швейцарский франк (CHF)."
"Всего, за годы своей работы «Фонд помощи России» осуществил поставки в СССР на сумму около 8 млн £ (около 200 миллионов в современных британских фунтах).","Всего, за годы своей работы «Фонд помощи России» осуществил поставки в СССР на сумму около 8 млн фунтов стерлингов (около 200 миллионов в современных британских фунтах)."
"Четыре, как полагают, автомобиля выжило: самый старый 1904 года, зарегистрированный как U44, шасси 20154, был продан за 3.2 миллионов £ (около 3,6 миллиона после комиссии и налогов) частному коллекционеру из аукционистов Бонэма в декабре 2007 года; AX 148 1905 года, шасси 20162, ∈ коллекции Музея науки Великобритании и обычно его можно увидеть на выставке в Манчестерском Музее науки и промышленности; SU 13, шасси 20165 1907 года ∈ Bentley Motors.","Четыре, как полагают, автомобиля выжило: самый старый 1904 года, зарегистрированный как U44, шасси 20154, был продан за 3.2 миллионов фунтов стерлингов (около 3,6 миллиона после комиссии и налогов) частному коллекционеру из аукционистов Бонэма в декабре 2007 года; AX 148 1905 года, шасси 20162, принадлежит коллекции Музея науки Великобритании и обычно его можно увидеть на выставке в Манчестерском Музее науки и промышленности; SU 13, шасси 20165 1907 года принадлежит Bentley Motors."
"Объявленная стоимость — 750 $ США или 600 £ в комплекте с объективом 20—50 мм; в продаже фотоаппарат появится в конце марта.","Объявленная стоимость — 750 долларов США или 600 фунтов стерлингов в комплекте с объективом 20—50 мм; в продаже фотоаппарат появится в конце марта."
"Фунт сте́рлингов (также £ Соединённого Королевства, британский фунт; англ. Pound sterling, Pound, British pound) — ¤ Великобритании, одна из основных резервных валют мира.","Фунт сте́рлингов (также фунт стерлингов Соединённого Королевства, британский фунт; англ. Pound sterling, Pound, British pound) — денежная единица Великобритании, одна из основных резервных валют мира."
"£ также является параллельной валютой коронных земель: Гернси, Джерси и Острова Мэн; и законным средством платежа для британских заморских территорий: Фолклендские острова, Гибралтар, Острова Святой Елены, Вознесения и Тристан-да-Кунья, Южная Георгия и Южные Сандвичевы Острова, Британская Территория в Индийском Океане и Британская антарктическая территория.","фунт стерлингов также является параллельной валютой коронных земель: Гернси, Джерси и Острова Мэн; и законным средством платежа для британских заморских территорий: Фолклендские острова, Гибралтар, Острова Святой Елены, Вознесения и Тристан-да-Кунья, Южная Георгия и Южные Сандвичевы Острова, Британская Территория в Индийском Океане и Британская антарктическая территория."
"Четыре, как полагают, автомобиля выжило: самый старый 1904 года, зарегистрированный как U44, шасси 20154, был продан за 3.2 миллионов £ (около 3,6 миллиона после комиссии и налогов) частному коллекционеру из аукционистов Бонэма в декабре 2007 года; AX 148 1905 года, шасси 20162, ∈ коллекции Музея науки Великобритании и обычно его можно увидеть на выставке в Манчестерском Музее науки и промышленности; SU 13, шасси 20165 1907 года ∈ Bentley Motors.","Четыре, как полагают, автомобиля выжило: самый старый 1904 года, зарегистрированный как U44, шасси 20154, был продан за 3.2 миллионов фунтов стерлингов (около 3,6 миллиона после комиссии и налогов) частному коллекционеру из аукционистов Бонэма в декабре 2007 года; AX 148 1905 года, шасси 20162, принадлежит коллекции Музея науки Великобритании и обычно его можно увидеть на выставке в Манчестерском Музее науки и промышленности; SU 13, шасси 20165 1907 года принадлежит Bentley Motors."
"Музей снова открылся после получения гранта в размере 1,6 миллионов £ от Фонда лотереи наследия.","Музей снова открылся после получения гранта в размере 1,6 миллионов фунтов стерлингов от Фонда лотереи наследия."
"Музей снова открылся после получения гранта в размере 1,6 миллионов £ от Фонда лотереи наследия.","Музей снова открылся после получения гранта в размере 1,6 миллионов фунтов стерлингов от Фонда лотереи наследия."
"В отчете компании указано, что за последние полгода расходы на закупку материалов составили около 4500 £, что значительно превышает прошлогодний уровень.", "В отчете компании указано, что за последние полгода расходы на закупку материалов составили около 4500 фунтов стерлингов, что значительно превышает прошлогодний уровень."
"Для завершения строительства школы было выделено более 800 000 £, и эта сумма оказалась достаточной для реализации всех этапов проекта.", "Для завершения строительства школы было выделено более 800 000 фунтов стерлингов, и эта сумма оказалась достаточной для реализации всех этапов проекта."
"Согласно договору, банк выделил 25 000 £ на покрытие всех непредвиденных расходов, которые могут возникнуть в процессе реализации проекта.", "Согласно договору, банк выделил 25 000 фунтов стерлингов на покрытие всех непредвиденных расходов, которые могут возникнуть в процессе реализации проекта."
"Правительство Великобритании инвестировало 1,5 млн £ в развитие новых технологий, направленных на снижение углеродного следа.", "Правительство Великобритании инвестировало 1,5 млн фунтов стерлингов в развитие новых технологий, направленных на снижение углеродного следа."
"Ежемесячный бюджет на содержание персонала составляет около 10 000 £, включая зарплаты, налоги и другие обязательные отчисления.", "Ежемесячный бюджет на содержание персонала составляет около 10 000 фунтов стерлингов, включая зарплаты, налоги и другие обязательные отчисления."
"Стоимость поставок сырья из-за границы значительно выросла и в этом году составила около 3000 £.", "Стоимость поставок сырья из-за границы значительно выросла и в этом году составила около 3000 фунтов стерлингов."
